2026-03-16T15:56:02.8485Z | api-gateway       | INFO  | req-d30e-8c51-8794  | Received incoming request                     | latency=90ms
2026-03-16T15:56:03.048418Z | api-gateway       | INFO  | req-4a13-cfd3-18d2  | Received incoming request                     | latency=44ms
2026-03-16T15:56:03.248444Z | api-gateway       | INFO  | req-809e-779e-ab02  | Request forwarded successfully                | latency=35ms
2026-03-16T15:56:03.44824Z | api-gateway       | INFO  | req-af82-a509-4902  | Received incoming request                     | latency=93ms
2026-03-16T15:56:03.648416Z | api-gateway       | INFO  | req-4a9f-54fc-5e30  | Request forwarded successfully                | latency=49ms
2026-03-16T15:56:03.848184Z | api-gateway       | INFO  | req-f073-7c6d-ec33  | Received incoming request                     | latency=47ms
2026-03-16T15:56:04.048391Z | api-gateway       | INFO  | req-b5b3-afbf-f645  | Routing request to downstream                 | latency=57ms
2026-03-16T15:56:04.248402Z | api-gateway       | INFO  | req-5db6-959a-1ef4  | Received incoming request                     | latency=44ms
2026-03-16T15:56:04.448024Z | api-gateway       | INFO  | req-90aa-7bdd-0b75  | Routing request to downstream                 | latency=41ms
2026-03-16T15:56:04.648074Z | api-gateway       | INFO  | req-00bb-bc16-de20  | Routing request to downstream                 | latency=37ms
2026-03-16T15:56:04.848369Z | api-gateway       | ERROR | req-4afd-b85b-a316  | Gateway timeout                               | latency=503ms
2026-03-16T15:56:05.048395Z | api-gateway       | INFO  | req-7a50-e1bc-d83e  | Routing request to downstream                 | latency=17ms
2026-03-16T15:56:05.247497Z | api-gateway       | ERROR | req-0359-38b5-e454  | Connection refused from downstream            | latency=281ms
2026-03-16T15:56:05.44843Z | api-gateway       | ERROR | req-da14-71b9-3a27  | Connection refused from downstream            | latency=548ms
2026-03-16T15:56:05.648389Z | api-gateway       | INFO  | req-6ed5-620c-d7ec  | Received incoming request                     | latency=94ms
2026-03-16T15:56:05.848369Z | api-gateway       | INFO  | req-0970-e3cc-10ab  | Request forwarded successfully                | latency=27ms
2026-03-16T15:56:06.048406Z | api-gateway       | INFO  | req-dc96-c5cd-a08f  | Request forwarded successfully                | latency=50ms
2026-03-16T15:56:06.248339Z | api-gateway       | WARN  | req-7d1e-823f-3e56  | High request rate detected                    | latency=281ms
2026-03-16T15:56:06.448367Z | api-gateway       | ERROR | req-f2be-c201-365a  | Gateway timeout                               | latency=696ms
2026-03-16T15:56:06.648366Z | api-gateway       | ERROR | req-6976-8ebf-198a  | Connection refused from downstream            | latency=420ms
2026-03-16T15:56:06.848379Z | api-gateway       | WARN  | req-8ad6-d10f-9bfc  | Slow upstream response                        | latency=381ms
2026-03-16T15:56:07.048335Z | api-gateway       | INFO  | req-964a-1c44-e28e  | Request forwarded successfully                | latency=66ms
2026-03-16T15:56:07.248319Z | api-gateway       | INFO  | req-8b3a-69bf-e833  | Request forwarded successfully                | latency=100ms
2026-03-16T15:56:07.448434Z | api-gateway       | INFO  | req-17d3-d6df-f0e7  | Received incoming request                     | latency=106ms
2026-03-16T15:56:07.648311Z | api-gateway       | INFO  | req-51be-ca9b-8457  | Routing request to downstream                 | latency=14ms
2026-03-16T15:56:07.848318Z | api-gateway       | ERROR | req-2311-e21e-f9b5  | Connection refused from downstream            | latency=1505ms
2026-03-16T15:56:08.048301Z | api-gateway       | INFO  | req-a5ce-aacf-2fb0  | Request forwarded successfully                | latency=19ms
2026-03-16T15:56:08.24837Z | api-gateway       | INFO  | req-b350-bf71-5470  | Request forwarded successfully                | latency=53ms
2026-03-16T15:56:08.448359Z | api-gateway       | INFO  | req-aef7-b073-4bca  | Request forwarded successfully                | latency=32ms
2026-03-16T15:56:08.648297Z | api-gateway       | INFO  | req-fdc9-1f2a-bc25  | Request forwarded successfully                | latency=79ms
2026-03-16T15:56:08.847757Z | api-gateway       | INFO  | req-aae9-df7c-049d  | Routing request to downstream                 | latency=66ms
2026-03-16T15:56:09.048319Z | api-gateway       | INFO  | req-3412-04d5-ca3d  | Routing request to downstream                 | latency=18ms
2026-03-16T15:56:09.248271Z | api-gateway       | INFO  | req-2a35-d7ff-937e  | Request forwarded successfully                | latency=24ms
2026-03-16T15:56:09.448276Z | api-gateway       | ERROR | req-e9e9-2673-de58  | Connection refused from downstream            | latency=1140ms
2026-03-16T15:56:09.648276Z | api-gateway       | INFO  | req-7828-5ad0-ff8e  | Request forwarded successfully                | latency=97ms
2026-03-16T15:56:09.848308Z | api-gateway       | INFO  | req-0ca1-02bb-cd3d  | Received incoming request                     | latency=83ms
2026-03-16T15:56:10.048251Z | api-gateway       | INFO  | req-d24d-48df-5596  | Request forwarded successfully                | latency=47ms
2026-03-16T15:56:10.248257Z | api-gateway       | INFO  | req-73fa-dbaa-7031  | Routing request to downstream                 | latency=107ms
2026-03-16T15:56:10.448256Z | api-gateway       | INFO  | req-bbba-c706-52b9  | Routing request to downstream                 | latency=52ms
2026-03-16T15:56:10.648274Z | api-gateway       | INFO  | req-62ef-bf7d-e525  | Received incoming request                     | latency=87ms
2026-03-16T15:56:10.848231Z | api-gateway       | INFO  | req-3228-dc97-0103  | Received incoming request                     | latency=92ms
2026-03-16T15:56:11.048001Z | api-gateway       | INFO  | req-8ba0-37a7-e7ec  | Request forwarded successfully                | latency=21ms
2026-03-16T15:56:11.248245Z | api-gateway       | INFO  | req-a7d0-c19a-590a  | Routing request to downstream                 | latency=16ms
2026-03-16T15:56:11.448244Z | api-gateway       | WARN  | req-8365-77a0-a300  | High request rate detected                    | latency=299ms
2026-03-16T15:56:11.648239Z | api-gateway       | INFO  | req-4b07-7bec-0e8d  | Request forwarded successfully                | latency=47ms
2026-03-16T15:56:11.848239Z | api-gateway       | WARN  | req-d20f-00af-d7a6  | High request rate detected                    | latency=243ms
2026-03-16T15:56:12.048297Z | api-gateway       | INFO  | req-6c13-5d5a-c76b  | Request forwarded successfully                | latency=41ms
2026-03-16T15:56:12.247345Z | api-gateway       | WARN  | req-dfe1-4e20-3ed0  | High request rate detected                    | latency=435ms
2026-03-16T15:56:12.447939Z | api-gateway       | ERROR | req-bfcf-7d34-6d8b  | Gateway timeout                               | latency=1323ms
2026-03-16T15:56:12.648218Z | api-gateway       | ERROR | req-c88b-4041-bef8  | Connection refused from downstream            | latency=1437ms
2026-03-16T15:56:12.847854Z | api-gateway       | INFO  | req-21fc-4517-5c17  | Routing request to downstream                 | latency=14ms
2026-03-16T15:56:13.048186Z | api-gateway       | INFO  | req-c43e-ceb7-f5d1  | Received incoming request                     | latency=58ms
2026-03-16T15:56:13.248191Z | api-gateway       | INFO  | req-b0c6-de5e-5453  | Request forwarded successfully                | latency=15ms
2026-03-16T15:56:13.448192Z | api-gateway       | INFO  | req-b51e-b13f-73ba  | Routing request to downstream                 | latency=96ms
2026-03-16T15:56:13.647941Z | api-gateway       | WARN  | req-857e-2cbf-e2fe  | High request rate detected                    | latency=91ms
2026-03-16T15:56:13.848214Z | api-gateway       | INFO  | req-285d-3d88-343e  | Request forwarded successfully                | latency=88ms
2026-03-16T15:56:14.048166Z | api-gateway       | WARN  | req-413a-4c26-8a01  | High request rate detected                    | latency=299ms
