2026-03-16T15:56:02.871688Z | auth-service      | INFO  | req-d30e-8c51-8794  | Session created                               | latency=89ms
2026-03-16T15:56:03.05854Z | auth-service      | INFO  | req-4a13-cfd3-18d2  | User authenticated                            | latency=31ms
2026-03-16T15:56:03.257481Z | auth-service      | INFO  | req-809e-779e-ab02  | Token validated successfully                  | latency=39ms
2026-03-16T15:56:03.462919Z | auth-service      | INFO  | req-af82-a509-4902  | Token validated successfully                  | latency=106ms
2026-03-16T15:56:03.669624Z | auth-service      | INFO  | req-4a9f-54fc-5e30  | User authenticated                            | latency=12ms
2026-03-16T15:56:03.854117Z | auth-service      | INFO  | req-f073-7c6d-ec33  | Session created                               | latency=65ms
2026-03-16T15:56:04.06045Z | auth-service      | INFO  | req-b5b3-afbf-f645  | User authenticated                            | latency=62ms
2026-03-16T15:56:04.268221Z | auth-service      | WARN  | req-5db6-959a-1ef4  | Token expiring soon                           | latency=347ms
2026-03-16T15:56:04.464566Z | auth-service      | INFO  | req-90aa-7bdd-0b75  | User authenticated                            | latency=49ms
2026-03-16T15:56:04.672161Z | auth-service      | INFO  | req-00bb-bc16-de20  | User authenticated                            | latency=21ms
2026-03-16T15:56:04.870411Z | auth-service      | INFO  | req-4afd-b85b-a316  | Session created                               | latency=75ms
2026-03-16T15:56:05.070685Z | auth-service      | INFO  | req-7a50-e1bc-d83e  | Session created                               | latency=64ms
2026-03-16T15:56:05.261353Z | auth-service      | ERROR | req-0359-38b5-e454  | Token expired: signature validation failed    | latency=221ms
2026-03-16T15:56:05.454292Z | auth-service      | ERROR | req-da14-71b9-3a27  | Token expired: invalid JWT structure          | latency=1178ms
2026-03-16T15:56:05.664169Z | auth-service      | WARN  | req-6ed5-620c-d7ec  | Token expiring soon                           | latency=229ms
2026-03-16T15:56:05.861443Z | auth-service      | INFO  | req-0970-e3cc-10ab  | Session created                               | latency=103ms
2026-03-16T15:56:06.070576Z | auth-service      | INFO  | req-dc96-c5cd-a08f  | Session created                               | latency=97ms
2026-03-16T15:56:06.262437Z | auth-service      | INFO  | req-7d1e-823f-3e56  | User authenticated                            | latency=96ms
2026-03-16T15:56:06.462442Z | auth-service      | INFO  | req-f2be-c201-365a  | Session created                               | latency=71ms
2026-03-16T15:56:06.672587Z | auth-service      | INFO  | req-6976-8ebf-198a  | User authenticated                            | latency=82ms
2026-03-16T15:56:06.87093Z | auth-service      | INFO  | req-8ad6-d10f-9bfc  | Session created                               | latency=31ms
2026-03-16T15:56:07.073444Z | auth-service      | ERROR | req-964a-1c44-e28e  | Token expired: signature validation failed    | latency=1065ms
2026-03-16T15:56:07.269434Z | auth-service      | WARN  | req-8b3a-69bf-e833  | Token expiring soon                           | latency=46ms
2026-03-16T15:56:07.466903Z | auth-service      | ERROR | req-17d3-d6df-f0e7  | Token expired: signature validation failed    | latency=1541ms
2026-03-16T15:56:07.657187Z | auth-service      | INFO  | req-51be-ca9b-8457  | Session created                               | latency=89ms
2026-03-16T15:56:07.872434Z | auth-service      | ERROR | req-2311-e21e-f9b5  | Token expired: signature validation failed    | latency=834ms
2026-03-16T15:56:08.055145Z | auth-service      | ERROR | req-a5ce-aacf-2fb0  | Token expired: signature validation failed    | latency=962ms
2026-03-16T15:56:08.268374Z | auth-service      | INFO  | req-b350-bf71-5470  | Session created                               | latency=50ms
2026-03-16T15:56:08.473573Z | auth-service      | INFO  | req-aef7-b073-4bca  | Session created                               | latency=29ms
2026-03-16T15:56:08.666431Z | auth-service      | WARN  | req-fdc9-1f2a-bc25  | Rate limit approaching for user               | latency=408ms
2026-03-16T15:56:08.857294Z | auth-service      | ERROR | req-aae9-df7c-049d  | Auth service unavailable                      | latency=1475ms
2026-03-16T15:56:09.055208Z | auth-service      | INFO  | req-3412-04d5-ca3d  | User authenticated                            | latency=63ms
2026-03-16T15:56:09.262378Z | auth-service      | INFO  | req-2a35-d7ff-937e  | Token validated successfully                  | latency=31ms
2026-03-16T15:56:09.470405Z | auth-service      | INFO  | req-e9e9-2673-de58  | Token validated successfully                  | latency=22ms
2026-03-16T15:56:09.66835Z | auth-service      | INFO  | req-7828-5ad0-ff8e  | Session created                               | latency=79ms
2026-03-16T15:56:09.870538Z | auth-service      | ERROR | req-0ca1-02bb-cd3d  | Token expired: signature validation failed    | latency=213ms
2026-03-16T15:56:10.062323Z | auth-service      | INFO  | req-d24d-48df-5596  | Token validated successfully                  | latency=91ms
2026-03-16T15:56:10.272335Z | auth-service      | ERROR | req-73fa-dbaa-7031  | Authentication failed: invalid token          | latency=305ms
2026-03-16T15:56:10.468998Z | auth-service      | INFO  | req-bbba-c706-52b9  | Token validated successfully                  | latency=42ms
2026-03-16T15:56:10.672393Z | auth-service      | ERROR | req-62ef-bf7d-e525  | Auth service unavailable                      | latency=907ms
2026-03-16T15:56:10.855452Z | auth-service      | INFO  | req-3228-dc97-0103  | Token validated successfully                  | latency=53ms
2026-03-16T15:56:11.068119Z | auth-service      | WARN  | req-8ba0-37a7-e7ec  | Rate limit approaching for user               | latency=195ms
2026-03-16T15:56:11.273377Z | auth-service      | INFO  | req-a7d0-c19a-590a  | Session created                               | latency=84ms
2026-03-16T15:56:11.463388Z | auth-service      | ERROR | req-8365-77a0-a300  | Authentication failed: invalid token          | latency=423ms
2026-03-16T15:56:11.664355Z | auth-service      | INFO  | req-4b07-7bec-0e8d  | User authenticated                            | latency=90ms
2026-03-16T15:56:11.853987Z | auth-service      | INFO  | req-d20f-00af-d7a6  | Token validated successfully                  | latency=99ms
2026-03-16T15:56:12.063903Z | auth-service      | WARN  | req-6c13-5d5a-c76b  | Rate limit approaching for user               | latency=187ms
2026-03-16T15:56:12.266449Z | auth-service      | INFO  | req-dfe1-4e20-3ed0  | Session created                               | latency=56ms
2026-03-16T15:56:12.46618Z | auth-service      | ERROR | req-bfcf-7d34-6d8b  | Auth service unavailable                      | latency=602ms
2026-03-16T15:56:12.663406Z | auth-service      | ERROR | req-c88b-4041-bef8  | Auth service unavailable                      | latency=802ms
2026-03-16T15:56:12.86194Z | auth-service      | INFO  | req-21fc-4517-5c17  | Session created                               | latency=104ms
2026-03-16T15:56:13.070437Z | auth-service      | INFO  | req-c43e-ceb7-f5d1  | User authenticated                            | latency=68ms
2026-03-16T15:56:13.263293Z | auth-service      | WARN  | req-b0c6-de5e-5453  | Token expiring soon                           | latency=391ms
2026-03-16T15:56:13.467336Z | auth-service      | INFO  | req-b51e-b13f-73ba  | Session created                               | latency=67ms
