2026-03-16T15:56:02.896844Z | order-service     | INFO  | req-d30e-8c51-8794  | Order created                                 | latency=62ms
2026-03-16T15:56:03.064274Z | order-service     | INFO  | req-4a13-cfd3-18d2  | Order created                                 | latency=18ms
2026-03-16T15:56:03.278775Z | order-service     | ERROR | req-809e-779e-ab02  | Order validation error                        | latency=308ms
2026-03-16T15:56:03.474134Z | order-service     | INFO  | req-af82-a509-4902  | Order validated                               | latency=71ms
2026-03-16T15:56:03.696452Z | order-service     | INFO  | req-4a9f-54fc-5e30  | Order validated                               | latency=37ms
2026-03-16T15:56:04.068226Z | order-service     | INFO  | req-b5b3-afbf-f645  | Order validated                               | latency=95ms
2026-03-16T15:56:04.474264Z | order-service     | WARN  | req-90aa-7bdd-0b75  | Duplicate order detected                      | latency=110ms
2026-03-16T15:56:04.685235Z | order-service     | WARN  | req-00bb-bc16-de20  | Duplicate order detected                      | latency=310ms
2026-03-16T15:56:04.888579Z | order-service     | ERROR | req-4afd-b85b-a316  | Order validation error                        | latency=1128ms
2026-03-16T15:56:05.083977Z | order-service     | INFO  | req-7a50-e1bc-d83e  | Order validated                               | latency=71ms
2026-03-16T15:56:05.283655Z | order-service     | INFO  | req-0359-38b5-e454  | Order created                                 | latency=47ms
2026-03-16T15:56:05.46636Z | order-service     | WARN  | req-da14-71b9-3a27  | Duplicate order detected                      | latency=414ms
2026-03-16T15:56:05.68231Z | order-service     | INFO  | req-6ed5-620c-d7ec  | Order created                                 | latency=38ms
2026-03-16T15:56:05.869393Z | order-service     | ERROR | req-0970-e3cc-10ab  | Order creation failed: database timeout       | latency=1235ms
2026-03-16T15:56:06.090685Z | order-service     | INFO  | req-dc96-c5cd-a08f  | Order validated                               | latency=59ms
2026-03-16T15:56:06.271501Z | order-service     | INFO  | req-7d1e-823f-3e56  | Order created                                 | latency=44ms
2026-03-16T15:56:06.474514Z | order-service     | INFO  | req-f2be-c201-365a  | Order created                                 | latency=86ms
2026-03-16T15:56:06.690716Z | order-service     | WARN  | req-6976-8ebf-198a  | Duplicate order detected                      | latency=408ms
2026-03-16T15:56:06.885107Z | order-service     | WARN  | req-8ad6-d10f-9bfc  | Order total exceeds threshold                 | latency=77ms
2026-03-16T15:56:07.087517Z | order-service     | ERROR | req-964a-1c44-e28e  | Order validation error                        | latency=212ms
2026-03-16T15:56:07.291506Z | order-service     | INFO  | req-8b3a-69bf-e833  | Order validated                               | latency=74ms
2026-03-16T15:56:07.483193Z | order-service     | INFO  | req-17d3-d6df-f0e7  | Order persisted to database                   | latency=56ms
2026-03-16T15:56:07.670269Z | order-service     | INFO  | req-51be-ca9b-8457  | Order validated                               | latency=29ms
2026-03-16T15:56:07.888372Z | order-service     | INFO  | req-2311-e21e-f9b5  | Order validated                               | latency=79ms
2026-03-16T15:56:08.064176Z | order-service     | INFO  | req-a5ce-aacf-2fb0  | Order persisted to database                   | latency=36ms
2026-03-16T15:56:08.273996Z | order-service     | INFO  | req-b350-bf71-5470  | Order persisted to database                   | latency=19ms
2026-03-16T15:56:08.488274Z | order-service     | ERROR | req-aef7-b073-4bca  | Order validation error                        | latency=732ms
2026-03-16T15:56:08.6765Z | order-service     | ERROR | req-fdc9-1f2a-bc25  | Order validation error                        | latency=678ms
2026-03-16T15:56:08.880612Z | order-service     | INFO  | req-aae9-df7c-049d  | Order validated                               | latency=61ms
2026-03-16T15:56:09.067593Z | order-service     | INFO  | req-3412-04d5-ca3d  | Order validated                               | latency=43ms
2026-03-16T15:56:09.283003Z | order-service     | WARN  | req-2a35-d7ff-937e  | Order total exceeds threshold                 | latency=102ms
2026-03-16T15:56:09.488359Z | order-service     | INFO  | req-e9e9-2673-de58  | Order created                                 | latency=108ms
2026-03-16T15:56:09.690434Z | order-service     | INFO  | req-7828-5ad0-ff8e  | Order persisted to database                   | latency=78ms
2026-03-16T15:56:09.881704Z | order-service     | WARN  | req-0ca1-02bb-cd3d  | Duplicate order detected                      | latency=290ms
2026-03-16T15:56:10.069527Z | order-service     | ERROR | req-d24d-48df-5596  | Order validation error                        | latency=838ms
2026-03-16T15:56:10.297408Z | order-service     | INFO  | req-73fa-dbaa-7031  | Order persisted to database                   | latency=47ms
2026-03-16T15:56:10.47693Z | order-service     | INFO  | req-bbba-c706-52b9  | Order created                                 | latency=58ms
2026-03-16T15:56:10.693491Z | order-service     | INFO  | req-62ef-bf7d-e525  | Order persisted to database                   | latency=77ms
2026-03-16T15:56:10.872515Z | order-service     | WARN  | req-3228-dc97-0103  | Order total exceeds threshold                 | latency=481ms
2026-03-16T15:56:11.090236Z | order-service     | INFO  | req-8ba0-37a7-e7ec  | Order created                                 | latency=11ms
2026-03-16T15:56:11.296477Z | order-service     | INFO  | req-a7d0-c19a-590a  | Order persisted to database                   | latency=39ms
2026-03-16T15:56:11.478162Z | order-service     | INFO  | req-8365-77a0-a300  | Order validated                               | latency=41ms
2026-03-16T15:56:11.685429Z | order-service     | INFO  | req-4b07-7bec-0e8d  | Order created                                 | latency=76ms
2026-03-16T15:56:11.861943Z | order-service     | INFO  | req-d20f-00af-d7a6  | Order persisted to database                   | latency=47ms
2026-03-16T15:56:12.069713Z | order-service     | INFO  | req-6c13-5d5a-c76b  | Order created                                 | latency=17ms
2026-03-16T15:56:12.285608Z | order-service     | INFO  | req-dfe1-4e20-3ed0  | Order persisted to database                   | latency=20ms
2026-03-16T15:56:12.475496Z | order-service     | INFO  | req-bfcf-7d34-6d8b  | Order created                                 | latency=93ms
2026-03-16T15:56:12.684559Z | order-service     | WARN  | req-c88b-4041-bef8  | Duplicate order detected                      | latency=327ms
2026-03-16T15:56:12.872999Z | order-service     | ERROR | req-21fc-4517-5c17  | Order creation failed: database timeout       | latency=1191ms
2026-03-16T15:56:13.082726Z | order-service     | INFO  | req-c43e-ceb7-f5d1  | Order validated                               | latency=19ms
2026-03-16T15:56:13.279378Z | order-service     | WARN  | req-b0c6-de5e-5453  | Order total exceeds threshold                 | latency=82ms
2026-03-16T15:56:13.485472Z | order-service     | INFO  | req-b51e-b13f-73ba  | Order persisted to database                   | latency=44ms
2026-03-16T15:56:13.678406Z | order-service     | ERROR | req-857e-2cbf-e2fe  | Order creation failed: database timeout       | latency=791ms
2026-03-16T15:56:13.876918Z | order-service     | ERROR | req-285d-3d88-343e  | Order creation failed: database timeout       | latency=1056ms
2026-03-16T15:56:14.077201Z | order-service     | INFO  | req-413a-4c26-8a01  | Order created                                 | latency=20ms
2026-03-16T15:56:14.277344Z | order-service     | INFO  | req-8466-b2a5-48c3  | Order validated                               | latency=38ms
2026-03-16T15:56:14.474947Z | order-service     | ERROR | req-62dd-78b9-ae9f  | Order validation error                        | latency=46ms
2026-03-16T15:56:14.682718Z | order-service     | INFO  | req-54c4-2a7a-7f33  | Order persisted to database                   | latency=80ms
2026-03-16T15:56:14.885734Z | order-service     | INFO  | req-5bf4-c443-6b4a  | Order validated                               | latency=94ms
2026-03-16T15:56:15.073758Z | order-service     | WARN  | req-ab24-bd92-980e  | Duplicate order detected                      | latency=465ms
