2026-03-16T15:56:02.908219Z | payment-service   | INFO  | req-d30e-8c51-8794  | Payment processed successfully                | latency=49ms
2026-03-16T15:56:03.070558Z | payment-service   | WARN  | req-4a13-cfd3-18d2  | Payment gateway slow response                 | latency=234ms
2026-03-16T15:56:03.301026Z | payment-service   | INFO  | req-809e-779e-ab02  | Payment confirmation sent                     | latency=92ms
2026-03-16T15:56:03.487331Z | payment-service   | INFO  | req-af82-a509-4902  | Payment confirmation sent                     | latency=65ms
2026-03-16T15:56:03.720594Z | payment-service   | ERROR | req-4a9f-54fc-5e30  | Payment failed: insufficient funds            | latency=291ms
2026-03-16T15:56:04.091478Z | payment-service   | INFO  | req-b5b3-afbf-f645  | Payment processed successfully                | latency=63ms
2026-03-16T15:56:04.481172Z | payment-service   | INFO  | req-90aa-7bdd-0b75  | Payment processed successfully                | latency=55ms
2026-03-16T15:56:04.695319Z | payment-service   | INFO  | req-00bb-bc16-de20  | Payment processed successfully                | latency=35ms
2026-03-16T15:56:04.903718Z | payment-service   | INFO  | req-4afd-b85b-a316  | Payment confirmation sent                     | latency=109ms
2026-03-16T15:56:05.093114Z | payment-service   | INFO  | req-7a50-e1bc-d83e  | Payment confirmation sent                     | latency=106ms
2026-03-16T15:56:05.30181Z | payment-service   | ERROR | req-0359-38b5-e454  | context deadline exceeded                     | latency=899ms
2026-03-16T15:56:05.483038Z | payment-service   | INFO  | req-da14-71b9-3a27  | Payment initiated                             | latency=46ms
2026-03-16T15:56:05.702426Z | payment-service   | WARN  | req-6ed5-620c-d7ec  | Payment gateway slow response                 | latency=388ms
2026-03-16T15:56:05.886276Z | payment-service   | INFO  | req-0970-e3cc-10ab  | Payment processed successfully                | latency=82ms
2026-03-16T15:56:06.114144Z | payment-service   | INFO  | req-dc96-c5cd-a08f  | Payment confirmation sent                     | latency=81ms
2026-03-16T15:56:06.29656Z | payment-service   | INFO  | req-7d1e-823f-3e56  | Payment confirmation sent                     | latency=49ms
2026-03-16T15:56:06.492495Z | payment-service   | INFO  | req-f2be-c201-365a  | Payment confirmation sent                     | latency=11ms
2026-03-16T15:56:06.70402Z | payment-service   | WARN  | req-6976-8ebf-198a  | Retry attempt for payment                     | latency=252ms
2026-03-16T15:56:06.898348Z | payment-service   | INFO  | req-8ad6-d10f-9bfc  | Payment initiated                             | latency=84ms
2026-03-16T15:56:07.110598Z | payment-service   | WARN  | req-964a-1c44-e28e  | Retry attempt for payment                     | latency=384ms
2026-03-16T15:56:07.301592Z | payment-service   | WARN  | req-8b3a-69bf-e833  | Retry attempt for payment                     | latency=272ms
2026-03-16T15:56:07.505293Z | payment-service   | INFO  | req-17d3-d6df-f0e7  | Payment confirmation sent                     | latency=109ms
2026-03-16T15:56:07.679359Z | payment-service   | WARN  | req-51be-ca9b-8457  | Retry attempt for payment                     | latency=311ms
2026-03-16T15:56:07.909914Z | payment-service   | INFO  | req-2311-e21e-f9b5  | Payment processed successfully                | latency=96ms
2026-03-16T15:56:08.078256Z | payment-service   | INFO  | req-a5ce-aacf-2fb0  | Payment processed successfully                | latency=100ms
2026-03-16T15:56:08.291563Z | payment-service   | INFO  | req-b350-bf71-5470  | Payment initiated                             | latency=74ms
2026-03-16T15:56:08.511619Z | payment-service   | WARN  | req-aef7-b073-4bca  | Retry attempt for payment                     | latency=138ms
2026-03-16T15:56:08.689574Z | payment-service   | INFO  | req-fdc9-1f2a-bc25  | Payment initiated                             | latency=47ms
2026-03-16T15:56:08.895707Z | payment-service   | INFO  | req-aae9-df7c-049d  | Payment initiated                             | latency=68ms
2026-03-16T15:56:09.075455Z | payment-service   | INFO  | req-3412-04d5-ca3d  | Payment initiated                             | latency=96ms
2026-03-16T15:56:09.296076Z | payment-service   | INFO  | req-2a35-d7ff-937e  | Payment processed successfully                | latency=19ms
2026-03-16T15:56:09.512424Z | payment-service   | INFO  | req-e9e9-2673-de58  | Payment initiated                             | latency=59ms
2026-03-16T15:56:09.702369Z | payment-service   | INFO  | req-7828-5ad0-ff8e  | Payment processed successfully                | latency=101ms
2026-03-16T15:56:09.889721Z | payment-service   | INFO  | req-0ca1-02bb-cd3d  | Payment confirmation sent                     | latency=76ms
2026-03-16T15:56:10.083608Z | payment-service   | INFO  | req-d24d-48df-5596  | Payment confirmation sent                     | latency=56ms
2026-03-16T15:56:10.309853Z | payment-service   | WARN  | req-73fa-dbaa-7031  | Retry attempt for payment                     | latency=399ms
2026-03-16T15:56:10.492384Z | payment-service   | INFO  | req-bbba-c706-52b9  | Payment processed successfully                | latency=90ms
2026-03-16T15:56:10.703602Z | payment-service   | INFO  | req-62ef-bf7d-e525  | Payment initiated                             | latency=30ms
2026-03-16T15:56:10.892891Z | payment-service   | ERROR | req-3228-dc97-0103  | Payment blocked: suspected fraud              | latency=1158ms
2026-03-16T15:56:11.104375Z | payment-service   | INFO  | req-8ba0-37a7-e7ec  | Payment processed successfully                | latency=102ms
2026-03-16T15:56:11.307218Z | payment-service   | INFO  | req-a7d0-c19a-590a  | Payment processed successfully                | latency=71ms
2026-03-16T15:56:11.490219Z | payment-service   | INFO  | req-8365-77a0-a300  | Payment initiated                             | latency=100ms
2026-03-16T15:56:11.70939Z | payment-service   | WARN  | req-4b07-7bec-0e8d  | Retry attempt for payment                     | latency=264ms
2026-03-16T15:56:11.876045Z | payment-service   | INFO  | req-d20f-00af-d7a6  | Payment initiated                             | latency=84ms
2026-03-16T15:56:12.09156Z | payment-service   | INFO  | req-6c13-5d5a-c76b  | Payment confirmation sent                     | latency=46ms
2026-03-16T15:56:12.29474Z | payment-service   | INFO  | req-dfe1-4e20-3ed0  | Payment confirmation sent                     | latency=81ms
2026-03-16T15:56:12.49698Z | payment-service   | INFO  | req-bfcf-7d34-6d8b  | Payment initiated                             | latency=92ms
2026-03-16T15:56:12.709839Z | payment-service   | INFO  | req-c88b-4041-bef8  | Payment processed successfully                | latency=85ms
2026-03-16T15:56:12.883068Z | payment-service   | INFO  | req-21fc-4517-5c17  | Payment confirmation sent                     | latency=12ms
2026-03-16T15:56:13.104844Z | payment-service   | WARN  | req-c43e-ceb7-f5d1  | Retry attempt for payment                     | latency=315ms
2026-03-16T15:56:13.301459Z | payment-service   | INFO  | req-b0c6-de5e-5453  | Payment confirmation sent                     | latency=62ms
2026-03-16T15:56:13.505577Z | payment-service   | WARN  | req-b51e-b13f-73ba  | Payment gateway slow response                 | latency=27ms
2026-03-16T15:56:13.68773Z | payment-service   | INFO  | req-857e-2cbf-e2fe  | Payment initiated                             | latency=102ms
2026-03-16T15:56:13.890015Z | payment-service   | WARN  | req-285d-3d88-343e  | Retry attempt for payment                     | latency=358ms
2026-03-16T15:56:14.096301Z | payment-service   | INFO  | req-413a-4c26-8a01  | Payment initiated                             | latency=11ms
2026-03-16T15:56:14.300486Z | payment-service   | INFO  | req-8466-b2a5-48c3  | Payment confirmation sent                     | latency=99ms
2026-03-16T15:56:14.494128Z | payment-service   | WARN  | req-62dd-78b9-ae9f  | Payment gateway slow response                 | latency=149ms
2026-03-16T15:56:14.695511Z | payment-service   | INFO  | req-54c4-2a7a-7f33  | Payment processed successfully                | latency=89ms
2026-03-16T15:56:14.908287Z | payment-service   | INFO  | req-5bf4-c443-6b4a  | Payment initiated                             | latency=79ms
2026-03-16T15:56:15.08484Z | payment-service   | INFO  | req-ab24-bd92-980e  | Payment initiated                             | latency=74ms
2026-03-16T15:56:15.304358Z | payment-service   | INFO  | req-2253-c528-22ae  | Payment processed successfully                | latency=21ms
2026-03-16T15:56:15.502642Z | payment-service   | INFO  | req-95e6-602e-e559  | Payment confirmation sent                     | latency=100ms
2026-03-16T15:56:15.707322Z | payment-service   | INFO  | req-d772-6ee8-1da1  | Payment initiated                             | latency=70ms
2026-03-16T15:56:15.899395Z | payment-service   | ERROR | req-6ac5-0fc0-7f10  | Payment declined                              | latency=1036ms
2026-03-16T15:56:16.07924Z | payment-service   | ERROR | req-87c4-5d0f-b42c  | Payment gateway connection refused            | latency=1430ms
2026-03-16T15:56:16.291542Z | payment-service   | INFO  | req-61dd-382a-c02d  | Payment processed successfully                | latency=33ms
2026-03-16T15:56:16.4861Z | payment-service   | INFO  | req-ac6d-c156-daff  | Payment processed successfully                | latency=60ms
2026-03-16T15:56:16.71445Z | payment-service   | WARN  | req-bb63-1918-4bf2  | Retry attempt for payment                     | latency=425ms
2026-03-16T15:56:16.885692Z | payment-service   | WARN  | req-583d-dc2b-668f  | Payment gateway slow response                 | latency=225ms
2026-03-16T15:56:17.111025Z | payment-service   | INFO  | req-5397-f878-ace2  | Payment initiated                             | latency=33ms
2026-03-16T15:56:17.274825Z | payment-service   | INFO  | req-2ec1-29ef-52df  | Payment initiated                             | latency=65ms
2026-03-16T15:56:17.498378Z | payment-service   | ERROR | req-ccb3-6807-b3df  | Payment blocked: suspected fraud              | latency=968ms
2026-03-16T15:56:17.708048Z | payment-service   | INFO  | req-bc9a-e10e-1243  | Payment confirmation sent                     | latency=16ms
2026-03-16T15:56:17.881585Z | payment-service   | INFO  | req-76f4-0bdb-e871  | Payment initiated                             | latency=75ms
2026-03-16T15:56:18.09164Z | payment-service   | INFO  | req-c6c2-6c87-fc06  | Payment processed successfully                | latency=62ms
2026-03-16T15:56:18.288896Z | payment-service   | WARN  | req-052a-84d5-acb1  | Retry attempt for payment                     | latency=433ms
2026-03-16T15:56:18.501741Z | payment-service   | INFO  | req-1f03-aecd-47e9  | Payment confirmation sent                     | latency=109ms
2026-03-16T15:56:18.684678Z | payment-service   | WARN  | req-7bca-5898-2894  | Payment gateway slow response                 | latency=211ms
2026-03-16T15:56:18.892243Z | payment-service   | INFO  | req-8681-3290-7243  | Payment confirmation sent                     | latency=65ms
2026-03-16T15:56:19.093438Z | payment-service   | INFO  | req-3cce-739b-97bc  | Payment processed successfully                | latency=108ms
2026-03-16T15:56:19.291124Z | payment-service   | WARN  | req-9d73-3c3b-60cd  | Retry attempt for payment                     | latency=160ms
2026-03-16T15:56:19.480304Z | payment-service   | INFO  | req-7280-60de-eb95  | Payment processed successfully                | latency=81ms
2026-03-16T15:56:19.706551Z | payment-service   | ERROR | req-49e6-937b-cc54  | context deadline exceeded                     | latency=1459ms
2026-03-16T15:56:20.093443Z | payment-service   | ERROR | req-5705-dded-b964  | Payment gateway connection refused            | latency=77ms
2026-03-16T15:56:20.314165Z | payment-service   | ERROR | req-6622-9c50-e1df  | context deadline exceeded                     | latency=1573ms
2026-03-16T15:56:20.484377Z | payment-service   | INFO  | req-324b-ba06-846c  | Payment confirmation sent                     | latency=10ms
2026-03-16T15:56:20.685798Z | payment-service   | INFO  | req-508f-6c08-4f70  | Payment processed successfully                | latency=34ms
2026-03-16T15:56:20.875518Z | payment-service   | INFO  | req-5867-f1f0-2ca8  | Payment processed successfully                | latency=44ms
2026-03-16T15:56:21.081473Z | payment-service   | ERROR | req-1121-d006-387e  | Payment failed: insufficient funds            | latency=1516ms
2026-03-16T15:56:21.295946Z | payment-service   | WARN  | req-23bc-46d4-9f62  | Payment gateway slow response                 | latency=372ms
2026-03-16T15:56:21.478544Z | payment-service   | INFO  | req-0348-35b0-b898  | Payment initiated                             | latency=95ms
2026-03-16T15:56:21.690474Z | payment-service   | INFO  | req-6ca0-9352-751d  | Payment initiated                             | latency=88ms
2026-03-16T15:56:21.888063Z | payment-service   | INFO  | req-ce4b-0ab4-26c1  | Payment confirmation sent                     | latency=107ms
2026-03-16T15:56:22.078406Z | payment-service   | INFO  | req-89a9-2847-23f3  | Payment initiated                             | latency=47ms
2026-03-16T15:56:22.298263Z | payment-service   | INFO  | req-968b-24a2-267c  | Payment processed successfully                | latency=85ms
2026-03-16T15:56:22.499605Z | payment-service   | INFO  | req-513e-42e5-0d4c  | Payment processed successfully                | latency=68ms
2026-03-16T15:56:22.692692Z | payment-service   | INFO  | req-f2ae-a777-012d  | Payment processed successfully                | latency=32ms
2026-03-16T15:56:22.913315Z | payment-service   | INFO  | req-0b43-5634-783a  | Payment initiated                             | latency=100ms
2026-03-16T15:56:23.302488Z | payment-service   | INFO  | req-2f91-3196-a718  | Payment confirmation sent                     | latency=93ms
2026-03-16T15:56:23.490063Z | payment-service   | INFO  | req-1fec-d836-fbff  | Payment processed successfully                | latency=82ms
2026-03-16T15:56:23.697866Z | payment-service   | INFO  | req-75cf-b17d-fa30  | Payment initiated                             | latency=28ms
2026-03-16T15:56:23.908374Z | payment-service   | INFO  | req-fff7-de76-4484  | Payment confirmation sent                     | latency=63ms
2026-03-16T15:56:24.093687Z | payment-service   | INFO  | req-5b49-68c6-01d8  | Payment processed successfully                | latency=96ms
2026-03-16T15:56:24.29837Z | payment-service   | INFO  | req-c53e-a28c-9026  | Payment processed successfully                | latency=43ms
2026-03-16T15:56:24.480022Z | payment-service   | INFO  | req-6edb-03b5-d416  | Payment processed successfully                | latency=94ms
2026-03-16T15:56:24.706965Z | payment-service   | INFO  | req-dd10-84e6-fb0c  | Payment confirmation sent                     | latency=26ms
2026-03-16T15:56:24.891286Z | payment-service   | INFO  | req-8576-b940-f9ee  | Payment confirmation sent                     | latency=84ms
2026-03-16T15:56:25.106944Z | payment-service   | ERROR | req-c1fe-7e6d-625d  | Payment gateway connection refused            | latency=15ms
2026-03-16T15:56:25.288024Z | payment-service   | ERROR | req-0540-a8e0-fc70  | Payment blocked: suspected fraud              | latency=63ms
2026-03-16T15:56:25.504845Z | payment-service   | INFO  | req-4a18-b85a-e10e  | Payment initiated                             | latency=49ms
2026-03-16T15:56:25.882585Z | payment-service   | ERROR | req-831a-6a13-879f  | Payment failed: insufficient funds            | latency=584ms
2026-03-16T15:56:26.095717Z | payment-service   | INFO  | req-1fe3-984e-289d  | Payment processed successfully                | latency=46ms
2026-03-16T15:56:26.285944Z | payment-service   | INFO  | req-10c7-55fc-b604  | Payment initiated                             | latency=46ms
2026-03-16T15:56:26.498624Z | payment-service   | INFO  | req-ab6e-ab86-ddd2  | Payment processed successfully                | latency=78ms
2026-03-16T15:56:26.702955Z | payment-service   | WARN  | req-f84d-35c5-6f66  | Payment gateway slow response                 | latency=144ms
2026-03-16T15:56:26.886794Z | payment-service   | ERROR | req-ce65-5b6a-f0e1  | Payment gateway connection refused            | latency=1377ms
